Team,Nickname,Season,Jersey,FullName,RosterName,LastName,FirstName,Yr,Pos,GP,GS,G,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,RBI2out
Wake Forest Demon Deacons,NA,2022,6, Michael Turconi,"Turconi, Michael",Turconi, Michael,Jr,INF,37,37,37,0.317,0.432,0.563,44,142,45,6,4,80,7,40,28,3,3,NA,31,3,1,1,3,NA,NA
Wake Forest Demon Deacons,NA,2022,8, Nick Kurtz,"Kurtz, Nick",Kurtz, Nick,Fr,OF,37,36,37,0.343,0.478,0.629,48,143,49,11,NA,90,10,38,34,3,NA,NA,29,2,NA,NA,1,NA,NA
Wake Forest Demon Deacons,NA,2022,9, Brendan Tinsman,"Tinsman, Brendan",Tinsman, Brendan,Jr,C,36,35,36,0.355,0.394,0.723,37,141,50,10,NA,102,14,42,6,5,3,1,24,3,NA,1,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,5, Pierce Bennett,"Bennett, Pierce",Bennett, Pierce,So,INF,36,36,36,0.338,0.447,0.421,34,133,45,5,NA,56,2,25,20,7,1,NA,15,1,2,NA,3,NA,NA
Wake Forest Demon Deacons,NA,2022,25, Brock Wilken,"Wilken, Brock",Wilken, Brock,So,INF,36,36,36,0.273,0.369,0.567,35,150,41,11,NA,85,11,44,23,1,2,NA,45,4,NA,NA,NA,1,NA
Wake Forest Demon Deacons,NA,2022,31, Jake Reinisch,"Reinisch, Jake",Reinisch, Jake,So,INF,36,36,36,0.333,0.5,0.518,33,114,38,9,NA,59,4,32,37,2,1,NA,35,1,1,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,24, Tommy Hawke,"Hawke, Tommy",Hawke, Tommy,Fr,INF,35,23,35,0.37,0.491,0.446,28,92,34,4,NA,41,1,10,21,1,NA,1,22,NA,1,NA,4,NA,NA
Wake Forest Demon Deacons,NA,2022,12, Adam Cecere,"Cecere, Adam",Cecere, Adam,So,OF,34,34,34,0.31,0.414,0.496,30,129,40,4,1,64,6,32,17,8,3,1,36,4,2,1,2,NA,NA
Wake Forest Demon Deacons,NA,2022,3, Danny Corona,"Corona, Danny",Corona, Danny,Fr,INF,33,30,33,0.233,0.306,0.414,20,116,27,4,1,48,5,30,11,3,4,NA,33,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,33, Chris Katz,"Katz, Chris",Katz, Chris,Fr,C,22,11,22,0.422,0.519,0.556,10,45,19,6,NA,25,NA,7,5,4,NA,NA,12,NA,1,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,14, Camden Minacci,"Minacci, Camden",Minacci, Camden,So,P,20,0,20,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,27, Gabe Golob,"Golob, Gabe",Golob, Gabe,Sr,P,18,0,18,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,19, Crawford Wade,"Wade, Crawford",Wade, Crawford,So,P,17,0,17,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,20, Derek Crum,"Crum, Derek",Crum, Derek,So,P,16,0,16,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,7, Eric Adler,"Adler, Eric",Adler, Eric,So,P,16,1,16,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,15, Brennen Oxford,"Oxford, Brennen",Oxford, Brennen,Jr,P,14,0,14,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,28, James Broderick,"Broderick, James",Broderick, James,So,INF,14,3,14,0.3,0.391,0.4,3,20,6,2,NA,8,NA,6,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,40, Reed Mascolo,"Mascolo, Reed",Mascolo, Reed,So,P,13,5,13,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,16, Gio Cueto,"Cueto, Gio",Cueto, Gio,Fr,C,13,1,13,0.091,0.231,0.091,1,11,1,NA,NA,1,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,46, Zach Sehgal,"Sehgal, Zach",Sehgal, Zach,Sr,INF,13,4,13,0.235,0.458,0.235,4,17,4,NA,NA,4,NA,3,6,1,NA,NA,9,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,29, Kyle Joye,"Joye, Kyle",Joye, Kyle,Sr,OF,12,3,12,0.381,0.5,0.905,6,21,8,2,NA,19,3,8,5,NA,NA,NA,8,1,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,2, Will Ray,"Ray, Will",Ray, Will,Fr,OF,11,0,11,0,0.333,0,1,4,NA,NA,NA,0,NA,1,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,36, Jacob Grzebinski,"Grzebinski, Jacob",Grzebinski, Jacob,Sr,P,11,0,11,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,26, Seth Keener,"Keener, Seth",Keener, Seth,So,P,11,7,11,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,4, Rhett Lowder,"Lowder, Rhett",Lowder, Rhett,So,P,9,9,9,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,22, Teddy McGraw,"McGraw, Teddy",McGraw, Teddy,So,P,8,7,8,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,11, Mark Black,"Black, Mark",Black, Mark,So,C,8,2,8,0.2,0.467,0.5,4,10,2,NA,NA,5,1,5,4,1,NA,NA,1,1,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,23, Josh Hartle,"Hartle, Josh",Hartle, Josh,Fr,P,8,8,8,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,0, Lucas Costello,"Costello, Lucas",Costello, Lucas,So,INF,6,6,6,0.25,0.464,0.55,9,20,5,NA,NA,11,2,10,8,NA,NA,NA,5,NA,NA,NA,2,NA,NA
Wake Forest Demon Deacons,NA,2022,34, Zach Grace,"Grace, Zach",Grace, Zach,So,P,6,0,6,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,35, Will Andrews,"Andrews, Will",Andrews, Will,So,P,2,0,2,NA,NA,NA,NA,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,39, Pirmin Brechbuhl,"Brechbuhl, Pirmin",Brechbuhl, Pirmin,So,OF,2,0,2,0.5,0.5,0.5,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Wake Forest Demon Deacons,NA,2022,51, Elie Kligman,"Kligman, Elie",Kligman, Elie,Fr,UT,1,0,1,0,0,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
